id,exercise_id,language_code,name,description
c2079b53-cc2f-4834-bebe-81e4427df5c8,1475f7e3-e9c2-402b-be90-8df1f6b8d07f,en,Close Grip Bench Press,A bench press variation with hands closer together to emphasize triceps development.
c8bd08fb-bdc1-484e-ad9e-5588a8b21200,1475f7e3-e9c2-402b-be90-8df1f6b8d07f,ro,Împins Priză Strânsă,O variantă de împins pe bancă cu mâinile mai aproape pentru a pune accent pe dezvoltarea tricepsului.
edd97e67-6d42-4973-aab4-06b773eabc02,2a230984-1611-4e8a-b72b-3bacd5cc7035,en,Barbell Shoulder Press,Standing or seated barbell press for shoulder development
7c42896e-7cea-4529-8258-924b84eb1ed2,2a230984-1611-4e8a-b72b-3bacd5cc7035,ro,Presa cu Halteră de Umeri,Exercițiu pentru dezvoltarea mușchilor umărilor folosind haltera
941798a5-0c94-451e-bc89-f2f1ca4eafba,2c0eef78-53c7-4f00-b746-875508c35e4f,en,Triceps Pushdown,An isolation exercise targeting the triceps using a cable machine with downward motion.
acf5146e-04a7-4927-94ba-a42ede2a9095,2c0eef78-53c7-4f00-b746-875508c35e4f,ro,Extensii Triceps la Cablu,Un exercițiu de izolare care vizează tricepsul folosind o mașină cu cablu cu mișcare descendentă.
d2670b4a-b1df-4305-8b27-c49171dbdc9e,2f7240d5-9bd5-4c19-9073-55621e8b573b,en,Seated Row Machine,Seated rowing exercise using machine for back muscle development
7546a5ae-b103-4ff7-b9da-9314f6e90393,2f7240d5-9bd5-4c19-9073-55621e8b573b,ro,Vâslire la Aparat Șezând,Exercițiu de vâslire în poziție șezândă folosind aparatul pentru dezvoltarea mușchilor spatelui
1716cf82-02ad-49d3-9313-161815f5f4d2,307b22cf-4aca-416e-90fd-07fb86fd9a2d,en,Middle Chest Press Machine,Machine chest press targeting the middle pectorals
426d30d1-7048-4bf2-b3de-34f1a64393a2,307b22cf-4aca-416e-90fd-07fb86fd9a2d,ro,Presa de Piept Mijlociu la Mașină,Exercițiu pentru partea mijlocie a pieptului la mașină
378612dd-04d6-4dfa-93ad-995ceac553e6,3333a959-9ce1-4092-9f42-d3d5fd7f2823,en,Leg Press,A machine-based exercise that targets the quadriceps, glutes, and hamstrings with controlled movement.
d3273e41-f066-4fa6-8269-39815a7b5cf7,3333a959-9ce1-4092-9f42-d3d5fd7f2823,ro,Presa Picior,Un exercițiu bazat pe mașină care vizează cvadricepsul, fesele și bicepsul femural cu mișcare controlată.
ce8dd61f-72b8-40da-a331-a0119dced1d7,3cdad3cd-5506-4eaf-8e87-d032625d4a9a,en,Incline Barbell Press,An inclined bench press variation that targets the upper chest and front deltoids.
5065ecc4-f921-4f5a-8bd4-57cd315528db,3cdad3cd-5506-4eaf-8e87-d032625d4a9a,ro,Împins cu Haltera Inclinat,O variantă de împins pe bancă înclinată care vizează partea superioară a pieptului și deltoidele anterioare.
bbc0d7fc-06d2-442d-84f0-0833570fe6b7,3fdaf8d8-c1d2-4b79-909b-4e0f6f24c151,en,Lateral Raises,An isolation exercise targeting the medial deltoids by raising dumbbells to the sides.
a0b3e1e6-467e-47d3-85b0-4445c302c817,3fdaf8d8-c1d2-4b79-909b-4e0f6f24c151,ro,Ridicări Laterale,Un exercițiu de izolare care vizează deltoidele mediale prin ridicarea ganterelor lateral.
24da3f5a-6100-4431-8915-f369f904b5e8,4ebb0d3c-878e-4dc7-bb8a-367ed2453fcd,en,Lat Pulldown,Pull down exercise targeting the latissimus dorsi muscles
f13f1f29-2875-4033-86f5-512c8604aa3a,4ebb0d3c-878e-4dc7-bb8a-367ed2453fcd,ro,Tracțiuni la Scripete,Exercițiu de tracțiune în jos care vizează mușchii latissimus dorsi
8b4decad-5c59-4606-aa98-03c0de75188a,5469b315-f507-4b33-9c6d-15e9782421f7,en,Leg Extension,"Isolation exercise performed on a leg extension machine to target the quadriceps muscles. Sit on the machine with your back against the pad and extend your legs to lift the weight."
af5e3ae1-8895-456b-affd-ef8661d35fc8,5469b315-f507-4b33-9c6d-15e9782421f7,ro,Extensie Picioare,"Exercițiu de izolare executat pe aparatul de extensie pentru picioare pentru a viza mușchii cvadricepși. Șezi pe aparat cu spatele sprijinit de pernă și întinde picioarele pentru a ridica greutatea."
ccbeb288-2ec1-4659-a04c-b2f7db6fcd77,573fbc3d-f245-4a60-a11a-6cf71f1b444b,en,Dumbbell Bench Press,A chest exercise using dumbbells that allows for greater range of motion and unilateral training.
3acf2465-ea2b-4041-bbfb-8ec2c14d993c,573fbc3d-f245-4a60-a11a-6cf71f1b444b,ro,Împins cu Gantere Culcat,Un exercițiu pentru piept folosind gantere care permite o amplitudine mai mare și antrenament unilateral.
cb34b392-79d5-4746-9f0f-04a231692d9e,6075c7cc-3f4e-455c-bf4b-775775429dc3,en,Seated Hammer Curl,Seated bicep curl with neutral grip using dumbbells
445479ab-952a-4737-b05d-edc0a9eb9b29,6075c7cc-3f4e-455c-bf4b-775775429dc3,ro,Curl Ciocan Șezând,Curl pentru biceps în poziție șezândă cu prindere neutră folosind gantere
23b717c3-505e-4112-be13-c17b24e94ced,69ea4d5e-20c4-410c-a93a-17399a810251,en,Barbell Bench Press,"The classic compound exercise for chest, shoulders, and triceps using a barbell on a bench."
b29f361e-e0fd-4f03-9a18-3adb56cfc086,69ea4d5e-20c4-410c-a93a-17399a810251,ro,Împins cu Haltera Culcat,"Exercițiul clasic compus pentru piept, umeri și triceps folosind o halteră pe bancă."
26f67268-ac28-446a-9a1a-acdd46dbbb1a,6da86374-b133-4bf1-a159-fd9bbb715316,en,Dips,A bodyweight exercise targeting the chest, triceps, and front deltoids using parallel bars or rings.
2603d04c-f2f6-4465-8977-61223408a239,6da86374-b133-4bf1-a159-fd9bbb715316,ro,Flotări la Paralele,Un exercițiu cu greutatea corporală care vizează pieptul, tricepsul și deltoidele anterioare folosind bare paralele.
c08b1368-aa69-40ea-9cda-36079b3df893,74305b29-e134-46ac-8e43-ef6e28a46a85,en,Cable Rope Triceps Extensions,Cable triceps extensions using rope attachment
d81d274d-5157-49b3-964d-691dc771d370,74305b29-e134-46ac-8e43-ef6e28a46a85,ro,Extensii de Triceps cu Cablu și Frânghie,Exercițiu de izolare pentru triceps folosind cablu cu frânghie
925e1a7f-4c9e-414b-b29e-b12bd9ba1cdc,75fe2aab-993e-479e-804b-fc977963857e,en,Face Pulls,A pulling exercise targeting the rear deltoids and upper back muscles for shoulder health.
9cca725f-b476-49b2-8ca2-bc760e4e0c5e,75fe2aab-993e-479e-804b-fc977963857e,ro,Trageri la Față,Un exercițiu de tragere care vizează deltoidele posterioare și mușchii spatelui superior pentru sănătatea umerilor.
3bd6fe8b-74c2-4d8f-8a09-5705f1bebfd5,7a299ea5-c2cc-4999-bee8-adfcc1f6bae4,en,Bulgarian Split Squat,A unilateral exercise targeting the quadriceps and glutes with one foot elevated behind.
